customer_id,customer_name,email_address,gender,age,annual_household_income,who_you_usually_shop_for,how_often_you_shopped_groceries_in_the_past_three_mnths,how_often_you_shopped_clothing_shoes_accessories_in_the_past_three_mnths,how_often_you_shopped_home_furniture_appliances_in_the_past_three_mnths,how_often_you_shopped_health_wellness_beauty_in_the_past_three_mnths,you_prefer_shopping_groceries_instore,you_prefer_shopping_groceries_website,you_prefer_shopping_groceries_with_the_app,you_prefer_shopping_clothing_shoes_accessories_instore,you_prefer_shopping_clothing_shoes_accessories_website,you_prefer_shopping_clothing_shoes_accessories_with_the_app,you_prefer_shopping_home_furniture_appliances_instore,you_prefer_shopping_home_furniture_appliances_website,you_prefer_shopping_home_furniture_appliances_with_the_app,you_prefer_shopping_health_wellness_beauty_instore,you_prefer_shopping_health_wellness_beauty_website,you_prefer_shopping_health_wellness_beauty_with_the_app,you_have_used_the_emporium_app_to_shop,how_much_do_you_spend_on_each_emporium_trip,price_of_items_you_buy_on_each_emporium_trip,do_you_use_bnpl,do_you_use_rewards_card,do_you_use_credit_card,do_you_use_cashback_debit_card,where_else_do_you_shop_target,where_else_do_you_shop_home_depot,where_else_do_you_shop_walgreens,where_else_do_you_shop_amazon_go,where_else_do_you_shop_lowe's,where_else_do_you_shop_kroger,where_else_do_you_shop_costco,where_else_do_you_shop_kohl's,where_else_do_you_shop_best_buy,where_else_do_you_shop_macy's,where_else_do_you_shop_albertsons,how_much_do_you_spend_on_each_trip_to_competitors
95822412,Andrew Davis,andrew.davis@example.com,Male,35,156018,Myself,Weekly,Monthly,Never,Never,In-Store,,,In-Store,,,In-Store,,,In-Store,,,Yes,96,"Mostly full price, some discounted",,,,Debit card,Target,,,,,,,,,,,154
24942603,Evelyn Taylor,evelyn.taylor@example.com,Female,18,192635,Myself,More than once per week,Every two weeks,Every two weeks,Monthly,In-Store,,,In-Store,,App,In-Store,,,In-Store,,App,Yes,121,"Mostly full price, some discounted",,Rewards card,,,,,,,,,,Kohl's,Best Buy,,,98
13356886,Amelia Jones,amelia.jones@example.com,Female,49,68608,"My spouse, kids and I",Weekly,Monthly,Once or twice,Once or twice,In-Store,Online,App,In-Store,,App,In-Store,Online,App,In-Store,,,Yes,57,"Mostly discounted, some full price",,Rewards card,,Debit card,Target,Home Depot,,,,,,Kohl's,Best Buy,Macy's,Albertsons,77
46913810,Joseph Jones,joseph.jones@example.com,Male,34,97737,Myself,Weekly,Monthly,Once or twice,Once or twice,In-Store,,,In-Store,,,,Online,,,Online,,Yes,64,"Mostly full price, some discounted",,Rewards card,Credit card,,Target,,,,,,,,Best Buy,,,48
42868828,Ava Jackson,ava.jackson@example.com,Female,52,76293,My spouse and I,More than once per week,Monthly,Once or twice,Never,In-Store,,,In-Store,,,In-Store,,,In-Store,,,No,21,All full price,,,,,,,,,,,,,,,,114
39958838,Joseph Thompson,joseph.thompson@example.com,Male,27,44718,My spouse and I,More than once per week,Monthly,Never,Never,In-Store,,,,Online,,In-Store,,,,,,Yes,73,All full price,,Rewards card,,Debit card,,,,,,,,,Best Buy,,,89
28728463,Harper Thompson,harper.thompson@example.com,Female,42,86035,"My spouse, kids and I",Monthly,Monthly,Monthly,Monthly,In-Store,Online,,In-Store,,,,Online,,,Online,,Yes,50,All full price,,,,,,,,,,,,,,,,53
23756669,Charlotte Anderson,charlotte.anderson@example.com,Female,22,95678,Myself,Weekly,Never,Never,Once or twice,In-Store,,,,,,,Online,,,,,No,76,All full price,,,,,,,,,,,,,,,,44
83197857,Christopher Jones,christopher.jones@example.com,Male,35,84751,"My spouse, kids and I",Weekly,Monthly,Monthly,Monthly,,,App,,Online,,In-Store,,,,Online,,Yes,72,"Mostly discounted, some full price",,,,,,,,,,,,,,,,102
21668732,Evelyn Williams,evelyn.williams@example.com,Female,48,108574,"My spouse, kids and I",Once or twice,Once or twice,Never,Never,,,App,,,App,,,App,,,App,Yes,73,All full price,,,,,,,,,,,,,,,,8
89254563,Alice Brown,alice.brown@example.com,Female,65,104889,"My spouse, kids and I",Once or twice,Once or twice,Never,Never,,Online,,,Online,,,,,,,,No,35,All full price,,,,,,,,,,,,,,,,100
66629388,Olivia Lopez,olivia.lopez@example.com,Female,43,81349,My spouse and I,Weekly,Monthly,Monthly,Monthly,In-Store,Online,App,In-Store,,,In-Store,Online,App,In-Store,,,Yes,25,All full price,,Rewards card,,,,,,,,,,,Best Buy,,,81
14265799,James Lee,james.lee@example.com,Male,49,132377,My spouse and I,Weekly,Monthly,Never,Never,,Online,,In-Store,,,In-Store,,,In-Store,,,Yes,123,All discounted,,Rewards card,,,Target,,Walgreens,,,,Costco,,Best Buy,,,58
13999315,Harper White,harper.white@example.com,Female,32,94945,"My spouse, kids and I",Weekly,Monthly,Once or twice,Once or twice,In-Store,,,,Online,,,Online,,In-Store,,,Yes,44,"Mostly discounted, some full price",,Rewards card,,,,,,,,,,,Best Buy,,,118
22575562,David Taylor,david.taylor@example.com,Male,49,126582,Myself,More than once per week,Monthly,Monthly,Once or twice,In-Store,,,,Online,,In-Store,,,In-Store,,,No,74,All full price,,,,,,,,,,,,,,,,43
39345092,Anthony White,anthony.white@example.com,Male,41,88444,"My spouse, kids and I",More than once per week,Never,Never,Monthly,In-Store,,,,,,,,,,,,Yes,81,"Mostly discounted, some full price",,Rewards card,,,Target,,,,,,Costco,,,,,92
41227216,Amelia Martin,amelia.martin@example.com,Female,22,103050,Myself,Every two weeks,Once or twice,Never,Never,In-Store,,,In-Store,,,,,,,,,Yes,10,"Mostly full price, some discounted",,Rewards card,,,,,Walgreens,,,Kroger,,,Best Buy,Macy's,,104
77827638,Joseph Jackson,joseph.jackson@example.com,Male,44,108025,"My spouse, kids and I",Weekly,Every two weeks,Monthly,Once or twice,In-Store,,,In-Store,,,In-Store,,,In-Store,,,Yes,29,"Mostly full price, some discounted",,Rewards card,,Debit card,Target,Home Depot,,,,,,,,,,74
90801586,John Lee,john.lee@example.com,Male,49,134260,My spouse and I,Weekly,Once or twice,Once or twice,Once or twice,In-Store,Online,App,In-Store,,,In-Store,,,,,,Yes,31,"Mostly full price, some discounted",,Rewards card,,,Target,,,,,Kroger,,,,,,49
13561597,Emma Lee,emma.lee@example.com,Female,45,61933,My spouse and I,More than once per week,Monthly,Monthly,Monthly,,Online,,In-Store,,,In-Store,,,In-Store,,,Yes,49,"Mostly full price, some discounted",,,Credit card,,Target,,,,,,,,Best Buy,,,39
85329037,Madison Lopez,madison.lopez@example.com,Female,33,57147,"My spouse, kids and I",Every two weeks,Once or twice,Never,Once or twice,In-Store,,,,Online,,In-Store,,,,,,Yes,66,"Mostly full price, some discounted",bnpl,Rewards card,,Debit card,Target,,,,,,,Kohl's,,Macy's,,66
36687537,Elizabeth Brown,elizabeth.brown@example.com,Female,50,96341,"My spouse, kids and I",Once or twice,Once or twice,Never,Once or twice,,,,,Online,,,,,,,,Yes,91,All discounted,,Rewards card,,Debit card,,,,,,,,Kohl's,Best Buy,,,94
97226012,John Thomas,john.thomas@example.com,Male,57,118886,"My spouse, kids and I",Every two weeks,Once or twice,Never,Once or twice,,Online,,In-Store,,,In-Store,,,,,,Yes,73,"Mostly discounted, some full price",,,Credit card,,Target,,,,,,,Kohl's,Best Buy,,,63
83140807,James Hernandez,james.hernandez@example.com,Male,59,79053,"My spouse, kids and I",Monthly,Monthly,Once or twice,Never,In-Store,Online,,,Online,,,Online,,,Online,,Yes,68,"Mostly full price, some discounted",,Rewards card,,,Target,,,,,Kroger,,,Best Buy,,,48
66306997,John Rodriguez,john.rodriguez@example.com,Male,36,156814,"My spouse, kids and I",Once or twice,Never,Never,Never,In-Store,,,,,,,,,,,,No,80,All full price,,,,,,,,,,,,,,,,113
39587039,Isabella Martin,isabella.martin@example.com,Female,54,68415,"My spouse, kids and I",Once or twice,Monthly,Never,Never,In-Store,,,,Online,,,,,,,,Yes,19,"Mostly discounted, some full price",,Rewards card,,,Target,,,,,,,,Best Buy,,,40
70291817,Michael Lopez,michael.lopez@example.com,Male,50,140976,Buying for others,Once or twice,Once or twice,Never,Never,,Online,,,Online,,,,,,,,Yes,98,All discounted,bnpl,,,Debit card,Target,Home Depot,,,,,,,Best Buy,,,45
89089901,Abigail Lopez,abigail.lopez@example.com,Female,32,86940,"My spouse, kids and I",Once or twice,Once or twice,Never,Never,In-Store,,,,Online,,,,,,,,Yes,104,All full price,,,,,,,,,,,,,,,,26
47338124,Robert Jones,robert.jones@example.com,Male,40,85474,My spouse and I,More than once per week,Monthly,Monthly,Once or twice,In-Store,,,In-Store,,,In-Store,,,In-Store,,,Yes,80,"Mostly full price, some discounted",,Rewards card,,,Target,,,,,,,,Best Buy,,,21
10872248,Mia Miller,mia.miller@example.com,Female,39,68657,"My spouse, kids and I",More than once per week,Every two weeks,Monthly,Every two weeks,In-Store,,,In-Store,,,,Online,,In-Store,,,Yes,68,"Mostly full price, some discounted",,Rewards card,,,,,,,,,,Kohl's,Best Buy,,,40
31429110,John White,john.white@example.com,Male,38,142427,My spouse and I,More than once per week,Once or twice,Once or twice,Once or twice,In-Store,,,In-Store,,,In-Store,,,In-Store,,,Yes,58,"Mostly full price, some discounted",,Rewards card,,,,,,,,,,,,,,95
66722344,Andrew Moore,andrew.moore@example.com,Male,31,93633,Myself,Weekly,Once or twice,Once or twice,Once or twice,,Online,,In-Store,,,In-Store,,,In-Store,,,No,79,All full price,,,,,,,,,,,,,,,,48
55667651,Jane Brown,jane.brown@example.com,Female,42,120211,"My spouse, kids and I",Weekly,Monthly,Once or twice,Never,,Online,,,,,,,,,,,Yes,32,"Mostly full price, some discounted",,Rewards card,,,Target,Home Depot,,,,Kroger,,Kohl's,Best Buy,,,110
47295260,Mia Wilson,mia.wilson@example.com,Female,42,124155,Myself,Weekly,Once or twice,Never,Once or twice,,Online,,,Online,,,Online,,,,,No,59,All full price,,,,,,,,,,,,,,,,45
30868105,Ava Johnson,ava.johnson@example.com,Female,44,69247,"My spouse, kids and I",Weekly,Monthly,Never,Never,In-Store,,App,In-Store,,App,,,,,,,Yes,9,"Mostly full price, some discounted",,Rewards card,,,Target,Home Depot,,,,,Costco,Kohl's,Best Buy,,,40
38898923,Diane Thompson,diane.thompson@example.com,Female,43,142145,"My spouse, kids and I",Weekly,Monthly,Monthly,Once or twice,In-Store,,,,,App,,,App,,,App,Yes,68,"Mostly full price, some discounted",,,,Debit card,Target,,,,,,,Kohl's,Best Buy,,,73
55176955,Emily Williams,emily.williams@example.com,Female,27,87844,"My spouse, kids and I",Weekly,Once or twice,Once or twice,Once or twice,,,App,In-Store,,,In-Store,,,In-Store,,,Yes,64,"Mostly full price, some discounted",,Rewards card,,,Target,,,,,,,,Best Buy,,,58
23718431,Mary Williams,mary.williams@example.com,Female,39,108549,"My spouse, kids and I",Monthly,Every two weeks,Once or twice,Once or twice,In-Store,,,In-Store,Online,,In-Store,,,In-Store,,,Yes,52,All discounted,,,,Debit card,,,,,,,,,Best Buy,,,64
22448136,William Jones,william.jones@example.com,Male,42,61669,"My spouse, kids and I",Weekly,Once or twice,Never,Once or twice,In-Store,,,,Online,,,Online,,,,,Yes,35,"Mostly discounted, some full price",,Rewards card,,,,,,,,,,,,,,56
60992979,Noah Jackson,noah.jackson@example.com,Male,34,124500,My spouse and I,Weekly,Once or twice,Once or twice,Once or twice,In-Store,,,In-Store,,,In-Store,,,In-Store,,,Yes,60,"Mostly full price, some discounted",,Rewards card,,,,,,,,,,,,,,20
22981052,James Rodriguez,james.rodriguez@example.com,Male,34,143195,"My spouse, kids and I",Every two weeks,Monthly,Once or twice,Once or twice,In-Store,,,In-Store,,,In-Store,,,In-Store,,,Yes,71,"Mostly discounted, some full price",,Rewards card,,,Target,Home Depot,,,,,,Kohl's,Best Buy,,,25
